id,name,channel_id,objective,start_date,end_date,total_budget
1,Fall Coastal Escape 2024,2,bookings,2024-09-09,2024-11-03,14000
2,Holiday Lights Package 2024,3,awareness,2024-11-15,2024-12-28,9000
3,Winter Direct Booking Push,5,bookings,2025-01-06,2025-02-28,11000
4,Valentine's Getaway 2025,4,bookings,2025-01-27,2025-02-13,1200
5,Spring Break CA Drive 2025,2,bookings,2025-03-03,2025-04-20,16000
6,Summer Peak Brand 2025,3,awareness,2025-05-12,2025-08-17,22000
7,Phoenix Heat Escape 2025,2,bookings,2025-05-26,2025-08-10,13000
8,Labor Day Flash Sale 2025,4,bookings,2025-08-18,2025-08-31,1500
9,Fall Wine Country 2025,2,bookings,2025-09-08,2025-11-02,17000
10,Holiday Lights Package 2025,3,awareness,2025-11-14,2025-12-27,11000
11,Jan Direct Booking Push 2026,5,bookings,2026-01-05,2026-02-27,12500
12,Spring Break CA Drive 2026,2,bookings,2026-03-02,2026-04-19,18000
13,Summer Peak Brand 2026,3,awareness,2026-05-11,2026-08-16,25000
14,Phoenix Heat Escape 2026,2,bookings,2026-05-25,2026-08-09,15000
